Name,Concepts,Roles,Max role depth,is ALC
ADO,1565,12,11,1
ADW,364,81,4,1
AFO,1466,278,12,1
AGRO,1685,608,35,1
ARO,4498,11,8,0
ATC,6358,3,4,1
AURA,27396,358,23,1
BAO,7231,227,13,1
BIOMO,1556,225,10,1
BIPON,1746,30,15,1
BIRNLEX,3580,9,40,0
BMT,253,12,5,1
CCONT,26501,70,20,0
CHMO,3080,25,11,1
CL,10630,271,37,1
CLO,44874,117,25,1
COSTART,1707,1,5,1
CRISP,9039,7,11,1
CSEO,20085,91,21,1
CSSO,303,0,5,0
CTCAE,4049,0,3,0
CVAO,1712,35,12,1
DDO,6466,48,18,1
DERMLEX,6106,18,10,1
DMTO,10700,315,19,1
ADO,1565,12,11,1
ADW,364,81,4,1
AFO,1466,278,12,1
AGRO,1685,608,35,1
ARO,4498,11,8,0
ATC,6358,3,4,1
AURA,27396,358,23,1
BAO,7231,227,13,1
BIOMO,1556,225,10,1
BIPON,1746,30,15,1
BIRNLEX,3580,9,40,0
BMT,253,12,5,1
CCONT,26501,70,20,0
CHMO,3080,25,11,1
CL,10630,271,37,1
CLO,44874,117,25,1
COSTART,1707,1,5,1
CRISP,9039,7,11,1
CSEO,20085,91,21,1
CSSO,303,0,5,0
CTCAE,4049,0,3,0
CVAO,1712,35,12,1
DDO,6466,48,18,1
DERMLEX,6106,18,10,1
DMTO,10700,315,19,1
DRON,554933,20,0,0
DTO,10075,43,11,0
ECOCORE,2099,254,35,1
EDAM,3421,12,8,1
EFO,26818,67,20,1
ENM,12751,5,12,0
ENVO,8970,165,37,1
EPILONT,138,10,4,1
ERO,4061,195,15,1
FB-CV,2167,133,9,1
FMA,104721,168,23,1
FOODON,28183,84,30,1
GENEPIO,5002,61,22,1
GEXO,166254,12,21,0
GO-PLUS,80669,297,34,1
HAO,2533,6,10,1
HCPCS,6417,20,0,1
HINO,37630,82,27,0
HL7,9884,63,10,1
HRDO,13539,20,12,1
IOBC,126842,59,15,1
KTAO,5593,305,40,1
LOINC,247754,146,14,1
MCO,3384,16,28,1
MEDLINEPLUS,2257,14,2,1
MOP,3683,11,13,1
MRO,126,14,6,1
NBO,3149,227,14,1
NCIT,156172,97,21,1
NIFSTD,155204,810,40,0
OAE,5700,123,17,1
OBA,17116,6,17,1
OBI,3479,103,16,1
OBIB,1653,83,15,1
OCHV,115645,18,2,0
ODAE,3672,148,17,1
OGG-MM,69433,81,9,1
OGMS,164,0,10,0
OHPI,11292,320,21,1
OMIM,109609,15,2,1
ONTOAD,5899,182,34,1
ONTOLURGENCES,10031,61,16,1
ONTOPARON,2462,32,7,1
ORDO,14501,24,11,1
OVAE,1555,146,17,1
PDO,388,13,7,1
PDQ,13452,17,13,1
PE-O,1251,13,11,1
PHAGE,50112,37,18,1
PHIPO,3427,133,21,1
PMR,1597,52,15,1
RADLEX,46636,52,20,1
RCTV2,88854,0,4,0
RETO,147738,12,21,0
REXO,158239,12,21,0
RH-MESH,305349,1,12,0
ROO,1307,216,10,1
RXNORM,113182,51,0,1
SIO,1544,212,10,1
SNMI,109150,9,7,1
SOCPRES,54,1,6,0
SSE,244,19,2,0
TTO,38705,0,18,0
TXPO,9395,82,17,1
UBERON,20125,245,38,1
UPA,4672,96,0,1
UPHENO,133480,372,17,0
VANDF,28258,20,0,1
ZP,45714,234,21,1
experiment1,99,4,3,0
experiment10,81,4,3,0
experiment11,188,8,12,0
experiment12,102,19,8,0
experiment13,71,10,14,0
experiment14,126,17,28,0
experiment15,106,5,3,0
experiment16,145,19,3,0
experiment17,44,2,3,0
experiment18,111,17,6,0
experiment19,57,2,3,0
experiment2,107,23,22,0
experiment20,126,5,4,0
experiment21,93,4,3,0
experiment22,79,8,6,0
experiment23,98,10,4,0
experiment24,213,2,3,0
experiment26,78,4,3,0
experiment27,74,5,3,0
experiment28,108,6,10,0
experiment29,43,2,3,0
experiment30,98,13,18,0
experiment32,65,2,3,0
experiment34,81,3,3,0
experiment35,169,7,4,0
experiment36,77,4,3,0
experiment37,55,3,3,0
experiment38,221,11,14,0
experiment39,191,28,12,0
experiment40,87,2,3,0
experiment45,51,3,3,0
